key,id,chapter_id,land_id,is_big,power,show_items,hook_items,hook_show_items,per_hook_items,quick_show_items
160300,160300,16,5,1,739373,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2100],[22,2125],[1,2300],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2100],[22,2125],[1,2300],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160290,160290,16,5,0,739110,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2100],[22,2115],[1,2290],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2100],[22,2115],[1,2290],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160280,160280,16,5,0,738848,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2100],[22,2115],[1,2290],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2100],[22,2115],[1,2290],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160270,160270,16,5,0,738585,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2090],[22,2115],[1,2290],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2090],[22,2115],[1,2290],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160260,160260,16,5,0,738323,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2090],[22,2105],[1,2280],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2090],[22,2105],[1,2280],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160250,160250,16,5,1,738060,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2090],[22,2105],[1,2280],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2090],[22,2105],[1,2280],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160240,160240,16,5,0,737798,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2080],[22,2105],[1,2280],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2080],[22,2105],[1,2280],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160230,160230,16,5,0,737535,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2080],[22,2095],[1,2270],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2080],[22,2095],[1,2270],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160220,160220,16,5,0,731188,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2080],[22,2095],[1,2270],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2080],[22,2095],[1,2270],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160210,160210,16,5,0,730926,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2070],[22,2095],[1,2270],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2070],[22,2095],[1,2270],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160200,160200,16,5,1,730663,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2070],[22,2085],[1,2260],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2070],[22,2085],[1,2260],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160190,160190,16,5,0,730401,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2070],[22,2085],[1,2260],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2070],[22,2085],[1,2260],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160180,160180,16,5,0,730138,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2060],[22,2085],[1,2260],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2060],[22,2085],[1,2260],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160170,160170,16,5,0,729876,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2060],[22,2075],[1,2250],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2060],[22,2075],[1,2250],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160160,160160,16,5,0,729613,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2060],[22,2075],[1,2250],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2060],[22,2075],[1,2250],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160150,160150,16,5,1,729351,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2050],[22,2075],[1,2250],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2050],[22,2075],[1,2250],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160140,160140,16,5,0,723024,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2050],[22,2065],[1,2240],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2050],[22,2065],[1,2240],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160130,160130,16,5,0,722762,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2050],[22,2065],[1,2240],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2050],[22,2065],[1,2240],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160120,160120,16,5,0,722499,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2040],[22,2065],[1,2240],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2040],[22,2065],[1,2240],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160110,160110,16,5,0,722237,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2040],[22,2055],[1,2230],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2040],[22,2055],[1,2230],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160100,160100,16,5,1,721974,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2040],[22,2055],[1,2230],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2040],[22,2055],[1,2230],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160090,160090,16,5,0,721712,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2030],[22,2055],[1,2230],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2030],[22,2055],[1,2230],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160080,160080,16,5,0,721449,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2030],[22,2045],[1,2220],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2030],[22,2045],[1,2220],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160070,160070,16,5,0,721187,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2030],[22,2045],[1,2220],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2030],[22,2045],[1,2220],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160060,160060,16,5,0,714829,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2020],[22,2045],[1,2220],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2020],[22,2045],[1,2220],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160050,160050,16,5,1,714567,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2020],[22,2035],[1,2210],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2020],[22,2035],[1,2210],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160040,160040,16,5,0,714304,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2020],[22,2035],[1,2210],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2020],[22,2035],[1,2210],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160030,160030,16,5,0,714042,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2010],[22,2035],[1,2210],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2010],[22,2035],[1,2210],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160020,160020,16,5,0,713779,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2010],[22,2025],[1,2200],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2010],[22,2025],[1,2200],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160010,160010,16,5,0,713517,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2010],[22,2025],[1,2200],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2010],[22,2025],[1,2200],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150400,150400,15,5,1,713254,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2000],[22,2025],[1,2200],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2000],[22,2025],[1,2200],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150390,150390,15,5,0,712992,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2000],[22,2015],[1,2190],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2000],[22,2015],[1,2190],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150380,150380,15,5,0,706634,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2000],[22,2015],[1,2190],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2000],[22,2015],[1,2190],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150370,150370,15,5,0,706371,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,1990],[22,2015],[1,2190],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,1990],[22,2015],[1,2190],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150360,150360,15,5,0,706109,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,1990],[22,2005],[1,2180],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,1990],[22,2005],[1,2180],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150350,150350,15,5,1,705846,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,1990],[22,2005],[1,2180],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,1990],[22,2005],[1,2180],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150340,150340,15,5,0,705584,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,1980],[22,2005],[1,2180],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,1980],[22,2005],[1,2180],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150330,150330,15,5,0,705321,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,1980],[22,1995],[1,2170],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,1980],[22,1995],[1,2170],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150320,150320,15,5,0,705059,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,1980],[22,1995],[1,2170],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,1980],[22,1995],[1,2170],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150310,150310,15,5,0,704796,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,1970],[22,1995],[1,2170],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,1970],[22,1995],[1,2170],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150300,150300,15,5,1,698486,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,1970],[22,1985],[1,2160],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,1970],[22,1985],[1,2160],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150290,150290,15,5,0,698223,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,1970],[22,1985],[1,2160],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,1970],[22,1985],[1,2160],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
150280,150280,15,5,0,697961,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,1960],[22,1985],[1,2160],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,1960],[22,1985],[1,2160],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
