ID,Loại Vật Phẩm,Tên Hiển Thị,Icon_ID,Tên_File_Ảnh,Đường_Dẫn_Ảnh_Tương_Đối,Công_Thức_IMAGE_Excel,Mô Tả,Công Dụng,File Gốc
16,Tài Sản,EXP Gia Tộc,16,16.png,icons/item/16.png,"=IMAGE(""icons/item/16.png"")",Kiếm được bằng cách đóng góp cho Gia Tộc. Được sử dụng để nâng cấp cấp độ Gia Tộc và mở khóa thêm các lợi ích của Gia Tộc,,item_data1.luac
17,Tài Sản,Ω337,17,17.png,icons/item/17.png,"=IMAGE(""icons/item/17.png"")",Ω338,,item_data1.luac
18,Tài Sản,Điểm Vòng Quay,18,18.png,icons/item/18.png,"=IMAGE(""icons/item/18.png"")",Sử dụng để đổi các vật phẩm trong Cửa hàng Vòng Quay,,item_data1.luac
19,Tài Sản,Chip Cá Cược,19,19.png,icons/item/19.png,"=IMAGE(""icons/item/19.png"")","Dùng để đặt cược Nhà Vô Địch, và nhận điểm Giải Đấu Vô Địch",,item_data1.luac
20,Tài Sản,Điểm Vô Địch,20,20.png,icons/item/20.png,"=IMAGE(""icons/item/20.png"")",Sử dụng để đổi các vật phẩm trong Cửa hàng điểm,,item_data1.luac
21,Tài Sản,Điểm Đấu Trường liên SV,21,21.png,icons/item/21.png,"=IMAGE(""icons/item/21.png"")",Sử dụng để đổi các vật phẩm trong Cửa hàng Đấu Trường liên SV,,item_data1.luac
22,Tài Sản,EXP Ninja,22,22.png,icons/item/22.png,"=IMAGE(""icons/item/22.png"")",Cuộn EXP. Nó được sử dụng để tăng cấp cho ninja.,,item_data1.luac
23,Tài Sản,Điểm Triệu Hồi,22,22.png,icons/item/22.png,"=IMAGE(""icons/item/22.png"")",Điểm được sử dụng để triệu hồi ninja,,item_data1.luac
24,Tài Sản,Tinh Thể Nguyên Tố,24,24.png,icons/item/24.png,"=IMAGE(""icons/item/24.png"")",Dùng để mua bán vật phẩm trong Cửa Hàng Nguyên Tố,,item_data1.luac
25,Tài Sản,Đá Tàn Tích,25,25.png,icons/item/25.png,"=IMAGE(""icons/item/25.png"")",Rơi từ Tàn Tích. Sử dụng để giao dịch các vật phẩm trong Cửa hàng Thám Hiểm,,item_data1.luac
26,Tài Sản,Điểm May Mắn,26,,,,Điểm May Mắn kiếm được từ Cuộn thủ công thất bại,,item_data1.luac
27,Tài Sản,Huy Hiệu Danh Dự,27,27.png,icons/item/27.png,"=IMAGE(""icons/item/27.png"")",Một huy hiệu danh dự chỉ dành cho giới tinh hoa ninja. Bạn có thể sử dụng nó để giao dịch ninja hiếm và vật phẩm tiện dụng trong cửa hàng đấu hạng,,item_data1.luac
28,Tài Sản,Mảnh Thần Trang,28,28.png,icons/item/28.png,"=IMAGE(""icons/item/28.png"")",Sử dụng để giao dịch Ult-Trang Bị trong Cửa Hàng Thần Trang. Có được từ việc vượt ải Núi Myoboku và Cầu nguyện Myoboku,,item_data1.luac
29,Tài Sản,Xu Luân Nhãn,29,29.png,icons/item/29.png,"=IMAGE(""icons/item/29.png"")","Xu siêu vip do Tôm Sama chế tạo, có thể dùng để đổi nhiều vật phẩm giá trị",,item_data1.luac
30,Tài Sản,Điểm Đấu Trường,30,30.png,icons/item/30.png,"=IMAGE(""icons/item/30.png"")",Kết Ấn chỉ được nắm giữ bởi các chiến binh thực sự. Sử dụng để giao dịch Ninja 5 sao hiếm và Mảnh Trang Phục trong Cửa Hàng Điểm của Hội Nindo và Đấu Trường Đội,,item_data1.luac
31,Tài Sản,Xu Nhà Riêng,31,31.png,icons/item/31.png,"=IMAGE(""icons/item/31.png"")",Một đồng xu với mô hình ngôi nhà ngọt ngào trên đó. Dùng nó để mua Nội thất hoặc đồ dùng cần thiết cho Thú Cưng Du Lịch,,item_data1.luac
32,Tài Sản,Đá Hỏa Chí,32,32.png,icons/item/32.png,"=IMAGE(""icons/item/32.png"")","Một viên đá quý hiếm đến từ một vùng đất thánh, bốc cháy như Lửa. Sử dụng nó để nâng cao cấp độ Tinh thuần của Nhẫn Cụ",Công dụng: Tinh Luyện Nhẫn Cụ,item_data1.luac
33,Tài Sản,Chip Nâng Cấp,33,33.png,icons/item/33.png,"=IMAGE(""icons/item/33.png"")",Sử dụng để đặt cược trong Hội Nindo Đỉnh Cao! Chúng được chuyển đổi thành Xu Gia Tộc chiến khi cá cược kết thúc,,item_data1.luac
34,Tài Sản,Xu Gia Tộc chiến,34,34.png,icons/item/34.png,"=IMAGE(""icons/item/34.png"")",Chỉ được phát hành trong Giải vô địch tuần. Sử dụng nó để giao dịch các vật phẩm quý hiếm trong cửa hàng Giải Vô Địch Tuần,,item_data1.luac
35,Tài Sản,Vé Ramen,35,35.png,icons/item/35.png,"=IMAGE(""icons/item/35.png"")","Một vật phẩm nâng cao có được từ các sự kiện hoặc đáp ứng một số yêu cầu. Sử dụng nó để giao dịch ninja mạnh mẽ, Thần Trang hoặc thứ gì đó khác trong Ramen Ichiraku",,item_data1.luac
36,Tài Sản,Chứng nhận Gia Tộc,36,36.png,icons/item/36.png,"=IMAGE(""icons/item/36.png"")",Một bằng chứng về việc đánh bại các BOSS Thí Luyện. Sử dụng nó để giao dịch các vật phẩm trong Kho Gia Tộc,,item_data1.luac
37,Tài Sản,Chip Đặc Quyền,33,33.png,icons/item/33.png,"=IMAGE(""icons/item/33.png"")",Dùng để đặt cược trong Hội Nindo Đỉnh Cao! Chúng sẽ được chuyển đổi thành Xu Đặc Quyền khi kết thúc cá cược,,item_data1.luac
38,Tài Sản,Xu Đặc Quyền,38,38.png,icons/item/38.png,"=IMAGE(""icons/item/38.png"")",Đồng tiền độc quyền được phát hành bởi Hội Nindo Đỉnh Cao. Sử dụng để giao dịch các vật phẩm quý hiếm trong Cửa Hàng Đỉnh,,item_data1.luac
39,Tài Sản,Thẻ Nguyên Tố,39,39.png,icons/item/39.png,"=IMAGE(""icons/item/39.png"")",Vật phẩm cần thiết để Triệu Hồi Nguyên Tố. Sử dụng nó trong Triệu Hồi Nguyên Tố - Điểm để triệu hồi ninja 5 sao!,,item_data1.luac
40,Tài Sản,Năng Động Tuần,40,40.png,icons/item/40.png,"=IMAGE(""icons/item/40.png"")",Một biểu tượng cho sự năng động của bạn. Thu thập để đổi lấy rương Năng Động,,item_data1.luac
333,Tài Sản,3 sao gói Thần Trang tùy chọn,333,,,,Ω9749,,item_data1.luac
9740,Gói,语言_ite_1_9740,9740,9740.png,icons/item/9740.png,"=IMAGE(""icons/item/9740.png"")",语言_ite_1_d_9740,Công dụng: Vật phẩm tiêu dùng,item_data1.luac
9741,Gói,语言_ite_1_9741,9741,9741.png,icons/item/9741.png,"=IMAGE(""icons/item/9741.png"")",语言_ite_1_d_9741,Công dụng: Vật phẩm tiêu dùng,item_data1.luac
10001,Tăng sức mạnh,Cầu Tăng Bậc,10001,10001.png,icons/item/10001.png,"=IMAGE(""icons/item/10001.png"")",Một quả cầu ma thuật thấm nhuần sức mạnh tâm linh. Dùng nó để nâng cấp ninja,Công dụng: nâng sức mạnh ninja,item_data1.luac
10002,Tiền Tệ,Vé Làm Mới Nhiệm Vụ Học Viện,10002,10002.png,icons/item/10002.png,"=IMAGE(""icons/item/10002.png"")","Một tấm vé do những người cao niên trong thế giới ninja phát hành, dùng nó để Làm mới nhiệm vụ trong Học Viện",Công dụng: Làm mới nhiệm vụ trong Học Viện,item_data1.luac
10003,Tiền Tệ,Vé Tốc Chiến Phó Bản,10003,10003.png,icons/item/10003.png,"=IMAGE(""icons/item/10003.png"")",,Công dụng: Tốc Chiến phụ bản,item_data1.luac
10004,Tiền Tệ,Vé Tốc Chiến,10004,10004.png,icons/item/10004.png,"=IMAGE(""icons/item/10004.png"")",Một tấm vé thấm nhuần sức mạnh của ninja. Sử dụng nó để nhận lượng EXP và Trang Bị lớn,Công dụng: Tốc Chiến,item_data1.luac
10005,Vật phẩm trao đổi,Lõi Linh Hồn,10005,10005.png,icons/item/10005.png,"=IMAGE(""icons/item/10005.png"")",Có được từ gói hàng tuần. Sử dụng nó để giao dịch ninja Gió/Lửa/Nước 5 sao!,,item_data1.luac
10006,Vật phẩm nâng cấp,Bảo Điển Tộc,10006,10006.png,icons/item/10006.png,"=IMAGE(""icons/item/10006.png"")",Một cuốn sách được viết với kiến thức rất uyên thâm. Sử dụng nó để cải thiện chỉ số kỹ năng PVP của Gia Tộc,Công dụng: nâng cấp Kỹ Năng Gia Tộc,item_data1.luac
10010,Vật phẩm tái sinh,Trái Tim Ninja,10011,,,,"Một vật phẩm dùng cho việc Tái Sinh Ninja 
 (Chỉ có sẵn trong thời gian sự kiện và sẽ bị xóa khi hết hạn",Tái Sinh Ninja,item_data1.luac
10020,Tiền Tệ,Tăng Trưởng Gia Tộc,10020,,,,Một cuộn ngưng tụ sức mạnh của những người bạn cùng hội với nhau. Tăng Tấn công của tất cả thành viên Gia Tộc lên 2% khi chiến đấu với Trùm Gia Tộc. Hiệu ứng cộng dồn.,Công dụng: cải thiện chỉ số Ninja,item_data1.luac
10030,Tiền Tệ,Đá Myoboku,10030,10030.png,icons/item/10030.png,"=IMAGE(""icons/item/10030.png"")","Sử dụng nó để tẩy luyện Thần Trang. Nó có thể thiết lập lại các chỉ số và giá trị của Thần Trang. Có được từ việc bán Thần Trang, vượt ải Núi Myoboku và Cầu nguyện Myoboku",Công dụng: làm mới Myoboku Thần Trang,item_data1.luac
10033,Không thể bán,Chìa khóa,10033,10033.png,icons/item/10033.png,"=IMAGE(""icons/item/10033.png"")",Ω9875,Ω9876,item_data1.luac
10034,Vật phẩm nhẫn cụ,Binh Lương Hoàn,10034,10034.png,icons/item/10034.png,"=IMAGE(""icons/item/10034.png"")","Có trong Tàn Tích. Sau khi sử dụng, phục hồi tất cả ninja về trạng thái tối đa và tăng 30% tấn công của họ. Chỉ có hiệu lực trong trận chiến tiếp theo sau khi sử dụng . Lấy từ Cửa Hàng Đấu Trường và các sự kiện",Tiêu Nhẫn Cụ,item_data1.luac
10040,Trồng trọt,Bụi Tổng Hợp,10039,10039.png,icons/item/10039.png,"=IMAGE(""icons/item/10039.png"")",Bụi thánh sinh ra bằng cách giải phóng Khế Ước Vĩ Thú. Sử dụng để Nâng Sao Vĩ Thú và Giới Linh,Công dụng: Canh tác trồng trọt,item_data1.luac
10041,Trồng trọt,Tổng Hợp Linh Hồn,10038,10038.png,icons/item/10038.png,"=IMAGE(""icons/item/10038.png"")",Một quả cầu linh hồn nuôi dưỡng các sinh vật. Sử dụng để Giới Linh,Công dụng: Canh tác trồng trọt,item_data1.luac
10042,Trồng trọt,Nguồn,10095,10095.png,icons/item/10095.png,"=IMAGE(""icons/item/10095.png"")",,Công dụng: Canh tác trồng trọt,item_data1.luac
10090,Tiền Tệ,Đá Quý Kaguya,10090,10090.png,icons/item/10090.png,"=IMAGE(""icons/item/10090.png"")",Một quả cầu khí lực khơi dậy tiềm năng của ninja! Một vật phẩm cần thiết và rất hiếm được sử dụng để nâng ninja từ 12 trở lên,Công dụng: nâng ninja từ 12 Sao trở lên,item_data1.luac
10091,Vật phẩm nâng cấp,Thánh Thạch Shinobi,10091,10091.png,icons/item/10091.png,"=IMAGE(""icons/item/10091.png"")",Một quả cầu khí lực khơi dậy tiềm năng của ninja! Một vật phẩm cần thiết và rất hiếm được sử dụng để nâng ninja từ 50 trở lên,Công dụng: nâng ninja lên rất nhiều Sao,item_data1.luac
10092,Vật phẩm nâng cấp,语言_ite_1_59_2,10092,,,,语言_ite_1_d_56_2,语言_ite_1_fd_15_2,item_data1.luac
10095,Tiền Tệ,Quả Chakra,10095,10095.png,icons/item/10095.png,"=IMAGE(""icons/item/10095.png"")",Sử dụng để cải thiện sự phát triển của Cây Thần Thụ,Công dụng: Tăng trưởng,item_data1.luac
10096,Tiền Tệ,Ngọc Chakra,10096,10096.png,icons/item/10096.png,"=IMAGE(""icons/item/10096.png"")",Ngọc cổ. Sử dụng nó để tạo Nhẫn Thuật,Công dụng: Sáng tạo Ẩn Thuật,item_data1.luac
10101,Tiền Tệ,Ω333,10101,10101.png,icons/item/10101.png,"=IMAGE(""icons/item/10101.png"")",Ω334,Công dụng: làm mới hàng hóa,item_data1.luac
10103,Tiền Tệ,Vé Đấu Trường,10103,10103.png,icons/item/10103.png,"=IMAGE(""icons/item/10103.png"")",Một tấm vé để sử dụng khi thách đấu trong Đấu Trường,Công dụng: thách đấu trong Đấu Trường,item_data1.luac
10152,Vật phẩm Sinh Tồn,Chìa Gia Truyền,10152,10152.png,icons/item/10152.png,"=IMAGE(""icons/item/10152.png"")","Một chiếc chìa khóa được rèn bởi những người thợ rèn lành nghề bằng cách sử dụng thép đen. Sử dụng nó để mở các rương gia truyền có trong Thí Luyện Sinh Tồn. Truyền thuyết kể rằng nếu bạn tìm thấy một chiếc rương, bạn có thể tìm thấy chìa khóa của nó gần đó…",Công dụng: mở Gia Truyền,item_data1.luac
10200,Khác,Rương Đấu Trường,80008,80008.png,icons/item/80008.png,"=IMAGE(""icons/item/80008.png"")","Tự động mở. Cần có đủ 300 Đấu Trường Điểm mới kích hoạt, có cơ hội rơi Nhẫn Thuật x2",Công dụng: tăng điểm,item_data1.luac
10201,Khác,Rương Hokage,80007,80007.png,icons/item/80007.png,"=IMAGE(""icons/item/80007.png"")","Tự động mở. Cần có đủ 500 Đấu Trường Điểm mới kích hoạt, có cơ hội rơi Nhẫn Thuật x3",Công dụng: tăng điểm,item_data1.luac
10202,Vật phẩm Chung,Ω9874,11005,11005.png,icons/item/11005.png,"=IMAGE(""icons/item/11005.png"")","Thu thập 50 để triệu hồi 1 lần. Triệu Hồi một Ninja trong danh sách Hàng tuần
Dang, ta không thể để mất cơ hội ~",Ω332,item_data1.luac
10301,Rương Vô Địch Tuần,Niềm tin chiến thắng,39033,39033.png,icons/item/39033.png,"=IMAGE(""icons/item/39033.png"")","Mở ngẫu nhiên nhận 1 trong các vật phẩm sau: 
 Cuộn Khế Ước Vàng*1
5 Mảnh Ngẫu Nhiên*50
Cuộn Dương*1
Cuộn Âm*1
5 Mảnh Ngẫu Nhiên*10
5 Mảnh Ngẫu Nhiên*5
Đá Nindos*20000",Công dụng: mở lấy các vật phẩm quý,item_data1.luac
10390,Vật phẩm Đặc Biệt,Shinobi Ấn Ký,10390,10390.png,icons/item/10390.png,"=IMAGE(""icons/item/10390.png"")","Ấn Ký của Thần Shinobi, dùng để trao đổi vật phẩm trong event giới hạn",Công dụng: Đổi Vật Phẩm Đặc Biệt,item_data1.luac
10398,Vật phẩm Triệu Hồi,Vé Triệu Hồi Ninja SP,10398,10398.png,icons/item/10398.png,"=IMAGE(""icons/item/10398.png"")",Cuộn được sử dụng cho Sự Kiện Triệu Hồi Giới Hạn Ninja SP,Công dụng: Triệu hồi Ninja,item_data1.luac
10399,Vật phẩm Triệu Hồi,Vé Triệu Hồi Ninja UR,10399,10399.png,icons/item/10399.png,"=IMAGE(""icons/item/10399.png"")",Cuộn được sử dụng cho Sự Kiện Triệu Hồi Giới Hạn Ninja UR,Công dụng: Triệu hồi Ninja,item_data1.luac
10400,Vật phẩm Triệu Hồi,Vé Triệu Hồi Ninja UR Âm,10400,10400.png,icons/item/10400.png,"=IMAGE(""icons/item/10400.png"")",Cuộn được sử dụng cho Sự Kiện Triệu Hồi Giới Hạn Ninja UR Âm,Công dụng: Triệu hồi Ninja,item_data1.luac
10401,Vật phẩm Triệu Hồi,Vé Triệu Hồi Thường,10401,10401.png,icons/item/10401.png,"=IMAGE(""icons/item/10401.png"")",Một cuộn cho phép bạn thực hiện các lệnh triệu hồi cơ bản. Được sử dụng cho Triệu Hồi ngẫu nhiên 3-Ninja 5 tại Triệu Hồi Cơ Bản,Công dụng: Triệu hồi Ninja,item_data1.luac
10403,Vật phẩm Triệu Hồi,Vé Triệu Hồi Đặc Biệt,10405,10405.png,icons/item/10405.png,"=IMAGE(""icons/item/10405.png"")",Một cuộn cho phép bạn thực hiện các lệnh triệu hồi nâng cao. Được sử dụng cho Triệu Hồi ngẫu nhiên 3-Ninja 5 tại Triệu Hồi Cao Cấp,Công dụng: Triệu hồi Ninja,item_data1.luac
10407,Vật phẩm Triệu Hồi,Vé Triệu Hồi Giới Hạn,10407,10407.png,icons/item/10407.png,"=IMAGE(""icons/item/10407.png"")","Một cuộn cho phép bạn thực hiện các lệnh triệu hồi đặc biệt. Được sử dụng cho Triệu Hồi Sự Kiện Triệu Hồi Giới Hạn 
Có thể quy đổi thành Vé Triệu Hồi Ưu Tú với tỉ lệ là 1:1",Công dụng: Triệu hồi Ninja,item_data1.luac
10408,Vật phẩm Triệu Hồi,Vé Triệu Hồi Ưu Tú,10408,10408.png,icons/item/10408.png,"=IMAGE(""icons/item/10408.png"")",Một cuộn cho phép bạn thực hiện các lệnh triệu hồi đặc biệt. Được sử dụng cho Triệu Hồi Sự Kiện Triệu Hồi Ưu Tú,Công dụng: Triệu hồi Ninja,item_data1.luac
10409,Vật phẩm Triệu Hồi,Vé Triệu Hồi May Mắn,10406,10406.png,icons/item/10406.png,"=IMAGE(""icons/item/10406.png"")","Vé độc quyền của bạn, hãy sử dụng chúng cho Triệu Hồi 3~Ninja 5 tại Triệu Hồi Cao Cấp",Công dụng: Triệu hồi Ninja,item_data1.luac
10410,Mảnh Ninja,Mảnh Hiếm,10410,10410.png,icons/item/10410.png,"=IMAGE(""icons/item/10410.png"")","Các mảnh chứa sức mạnh Ninja có thể được chuyển đổi thành bất kỳ Mảnh Ninja Cấp A , bạn có thể sử dụng chúng để chế tạo hoặc nâng cấp ninja",Công dụng: dùng để đổi Mảnh Ninja,item_data1.luac
10411,Mảnh Ninja,Mảnh Ưu Tú,10411,10411.png,icons/item/10411.png,"=IMAGE(""icons/item/10411.png"")","Các mảnh chứa sức mạnh Ninja có thể được chuyển đổi thành bất kỳ Mảnh Ninja Cấp S , bạn có thể sử dụng chúng để chế tạo hoặc nâng cấp ninja",Công dụng: dùng để đổi Mảnh Ninja,item_data1.luac
10412,Mảnh Ninja,Mảnh Huyền Thoại,10412,10412.png,icons/item/10412.png,"=IMAGE(""icons/item/10412.png"")","Các mảnh chứa sức mạnh Ninja có thể được chuyển đổi thành bất kỳ Mảnh Ninja Cấp SS , bạn có thể sử dụng chúng để chế tạo hoặc nâng cấp ninja",Công dụng: dùng để đổi Mảnh Ninja,item_data1.luac
10415,Vật phẩm Triệu Hồi,Cuộn Khế Ước,10415,10415.png,icons/item/10415.png,"=IMAGE(""icons/item/10415.png"")",Dùng để Triệu Hồi Vĩ Thú trong Vĩ Thú,Công dụng: Triệu Hồi Vĩ Thú,item_data1.luac
10416,Vật phẩm Sự Kiện,Vé Ước Ninja,10416,10416.png,icons/item/10416.png,"=IMAGE(""icons/item/10416.png"")",Sử dụng nó để cầu phúc và rút thăm trong Cầu Phúc Ninja,Công dụng: vật phẩm sự kiện,item_data1.luac
10417,Vật phẩm Sự Kiện,Gói lì xì Trở Về,80258,80258.png,icons/item/80258.png,"=IMAGE(""icons/item/80258.png"")",Ω6354,Công dụng: vật phẩm sự kiện,item_data1.luac
10418,Vật phẩm Sự Kiện,Bình Lưu Ly,10418,10418.png,icons/item/10418.png,"=IMAGE(""icons/item/10418.png"")",Ω9872,,item_data1.luac
10419,Vật phẩm Triệu Hồi,语言_ite_1_10419,10419,10419.png,icons/item/10419.png,"=IMAGE(""icons/item/10419.png"")",语言_ite_1_d_10419,Công dụng: Triệu hồi Ninja,item_data1.luac
10420,Ω331,Tạo tác-Giới luật Thánh,10420,10420.png,icons/item/10420.png,"=IMAGE(""icons/item/10420.png"")",Ω330,Công dụng: đạt được kỹ năng,item_data1.luac
10421,Cuộn Ninja,Cuộn: Lục Đạo,10421,10421.png,icons/item/10421.png,"=IMAGE(""icons/item/10421.png"")",Một cuộn tượng trưng cho vinh quang của Lục Đạo Hiền Nhân. Sử dụng nó và đạt được các kỹ năng và chỉ số tăng thêm khác nhau ở các cấp độ khác nhau. Cho ninja đang mặc,Công dụng: đạt được kỹ năng,item_data1.luac
10422,Cuộn Ninja,Cuộn: Lục Đạo,10421,10421.png,icons/item/10421.png,"=IMAGE(""icons/item/10421.png"")",Một cuộn tượng trưng cho vinh quang của Lục Đạo Hiền Nhân. Sử dụng nó và đạt được các kỹ năng và chỉ số tăng thêm khác nhau ở các cấp độ khác nhau. Cho ninja đang mặc,Công dụng: đạt được kỹ năng,item_data1.luac
10423,Cuộn Ninja,Cuộn: Lục Đạo,10421,10421.png,icons/item/10421.png,"=IMAGE(""icons/item/10421.png"")",Một cuộn tượng trưng cho vinh quang của Lục Đạo Hiền Nhân. Sử dụng nó và đạt được các kỹ năng và chỉ số tăng thêm khác nhau ở các cấp độ khác nhau. Cho ninja đang mặc,Công dụng: đạt được kỹ năng,item_data1.luac
10424,Cuộn Ninja,Cuộn: Lục Đạo,10421,10421.png,icons/item/10421.png,"=IMAGE(""icons/item/10421.png"")",Một cuộn tượng trưng cho vinh quang của Lục Đạo Hiền Nhân. Sử dụng nó và đạt được các kỹ năng và chỉ số tăng thêm khác nhau ở các cấp độ khác nhau. Cho ninja đang mặc,Công dụng: đạt được kỹ năng,item_data1.luac
10425,Cuộn Ninja,Cuộn: Lục Đạo,10421,10421.png,icons/item/10421.png,"=IMAGE(""icons/item/10421.png"")",Một cuộn tượng trưng cho vinh quang của Lục Đạo Hiền Nhân. Sử dụng nó và đạt được các kỹ năng và chỉ số tăng thêm khác nhau ở các cấp độ khác nhau. Cho ninja đang mặc,Công dụng: đạt được kỹ năng,item_data1.luac
10426,Cuộn Ninja,Cuộn: Lục Đạo,10421,10421.png,icons/item/10421.png,"=IMAGE(""icons/item/10421.png"")",Một cuộn tượng trưng cho vinh quang của Lục Đạo Hiền Nhân. Sử dụng nó và đạt được các kỹ năng và chỉ số tăng thêm khác nhau ở các cấp độ khác nhau. Cho ninja đang mặc,Công dụng: đạt được kỹ năng,item_data1.luac
10427,Cuộn Ninja,Cuộn: Lục Đạo,10421,10421.png,icons/item/10421.png,"=IMAGE(""icons/item/10421.png"")",Một cuộn tượng trưng cho vinh quang của Lục Đạo Hiền Nhân. Sử dụng nó và đạt được các kỹ năng và chỉ số tăng thêm khác nhau ở các cấp độ khác nhau. Cho ninja đang mặc,Công dụng: đạt được kỹ năng,item_data1.luac
10428,Cuộn Mảnh,Mảnh Cuộn Lục Đạo,10429,10429.png,icons/item/10429.png,"=IMAGE(""icons/item/10429.png"")",Mảnh Linh Hồn Lục Đạo huyền thoại. Dùng 50 để chế tạo thành Cuộn: Linh Hồn Lục Đạo,Công dụng: chế tạo cuộn: Linh Hồn Lục Đạo,item_data6.dec.lua
10429,Cuộn Mảnh,Mảnh Cuộn Linh Hồn Kaguya,10428,10428.png,icons/item/10428.png,"=IMAGE(""icons/item/10428.png"")",Mảnh Linh Hồn Kaguya huyền thoại. Dùng 30 để chế tạo thành Cuộn: Linh Hồn Kaguya,Công dụng: chế tạo cuộn: Linh Hồn Kaguya,item_data6.dec.lua
10430,Tiền Tệ,Đá Gia Cố Kaguya,10430,10430.png,icons/item/10430.png,"=IMAGE(""icons/item/10430.png"")",Một viên đá chứa đựng sức mạnh của Kaguya. Sử dụng để Tẩy Luyện Cuộn Linh Hồn: Kaguya. Ngẫu nhiên thay thế kỹ năng hiện tại,Công dụng: rèn lại các cuộn,item_data1.luac
10431,Tiền Tệ,Đá Gia Cố Lục Đạo,10431,10431.png,icons/item/10431.png,"=IMAGE(""icons/item/10431.png"")",Một viên đá chứa đựng sức mạnh của các Vị Thần. Sử dụng để Tẩy Luyện Cuộn: Lục Đạo. Ngẫu nhiên thay thế kỹ năng và chỉ số,Công dụng: rèn lại các cuộn,item_data1.luac
10441,Cuộn Ninja,Cuộn: Kaguya,10441,10441.png,icons/item/10441.png,"=IMAGE(""icons/item/10441.png"")",Cuộn giấy này do Kaguya huyền thoại để lại. Nâng sao nó và đạt được các kỹ năng và chỉ số cộng thêm khác nhau ở các cấp độ khác nhau. Cho ninja đang mặc,Công dụng: đạt được kỹ năng,item_data1.luac
10442,Cuộn Ninja,Cuộn: Kaguya,10441,10441.png,icons/item/10441.png,"=IMAGE(""icons/item/10441.png"")",Cuộn giấy này do Kaguya huyền thoại để lại. Nâng sao nó và đạt được các kỹ năng và chỉ số cộng thêm khác nhau ở các cấp độ khác nhau. Cho ninja đang mặc,Công dụng: đạt được kỹ năng,item_data1.luac
